origin,destination,departure_date,return_date,airline,cabin_class,adults,children,infants,stops,trip_type,currency,flight_duration_minutes,departure_hour,arrival_hour,price,price_usd
PNQ,BOM,2026-08-29,,GA,ECONOMY,2,1,0,1,ONE_WAY,INR,476,2,9,3944.8,47.34
SYD,BAH,2027-08-06,,MH,PREMIUM_ECONOMY,2,1,0,1,ONE_WAY,USD,319,13,18,5006.77,5006.77
AMS,AUH,2027-04-06,,EY,FIRST,1,1,0,1,ONE_WAY,USD,503,17,1,9766.29,9766.29
SYD,MAD,2026-09-23,2026-10-23,SQ,PREMIUM_ECONOMY,2,0,0,0,ROUND_TRIP,EUR,304,7,12,5307.9,5732.53
AMD,MIA,2026-09-19,2026-10-11,WY,ECONOMY,1,0,0,1,ROUND_TRIP,USD,416,20,2,1629.18,1629.18
KUL,DFW,2026-08-30,2026-09-27,WY,FIRST,2,1,0,0,ROUND_TRIP,EUR,180,10,13,46943.23,50698.69
AMS,MAA,2026-10-26,2026-11-06,EY,BUSINESS,1,0,0,1,ROUND_TRIP,INR,614,4,14,4471.96,53.66
DPS,SIN,2027-07-01,,DL,ECONOMY,2,0,0,0,ONE_WAY,AUD,606,5,15,2808.26,1825.37
SIN,MAA,2027-07-29,2027-08-18,AF,ECONOMY,4,1,0,1,ROUND_TRIP,EUR,269,8,12,10648.04,11499.88
SIN,DOH,2027-06-30,2027-07-12,IB,ECONOMY,4,1,0,0,ROUND_TRIP,INR,653,20,6,7374.52,88.49
BAH,AUH,2027-02-15,,LH,BUSINESS,2,0,0,0,ONE_WAY,INR,486,9,17,6130.43,73.57
CCU,AMD,2026-12-27,,GA,ECONOMY,2,0,0,1,ONE_WAY,INR,544,16,1,2476.46,29.72
SIN,MCT,2027-04-02,2027-04-08,UA,BUSINESS,1,0,0,2,ROUND_TRIP,INR,208,7,10,1264.44,15.17
SYD,LHR,2026-12-13,,DL,ECONOMY,1,2,0,0,ONE_WAY,GBP,489,8,16,1920.99,2439.66
MNL,MCT,2026-10-02,2026-10-26,UA,ECONOMY,1,1,0,0,ROUND_TRIP,EUR,159,13,15,1589.08,1716.21
BLR,PNQ,2027-01-03,,6E,ECONOMY,1,0,0,1,ONE_WAY,AED,643,14,0,292.49,79.56
MAA,KUL,2027-03-10,2027-03-28,UA,ECONOMY,1,0,0,0,ROUND_TRIP,EUR,410,15,21,1946.1,2101.79
DOH,MIA,2027-05-25,,AI,FIRST,1,0,1,2,ONE_WAY,INR,517,21,5,1522.3,18.27
MNL,AUH,2027-04-28,2027-05-28,EY,ECONOMY,2,1,0,1,ROUND_TRIP,EUR,480,16,0,7270.02,7851.62
KWI,MAA,2026-09-24,2026-10-10,WN,ECONOMY,4,0,0,0,ROUND_TRIP,EUR,120,21,23,2833.65,3060.34
MEL,NRT,2027-01-22,,BA,BUSINESS,1,0,0,0,ONE_WAY,INR,406,2,8,2565.88,30.79
AMD,MAA,2027-05-19,,UA,ECONOMY,3,1,0,0,ONE_WAY,SGD,622,22,8,7090.23,5246.77
NRT,DEL,2027-05-24,,TG,BUSINESS,4,0,0,0,ONE_WAY,GBP,555,4,13,5166.35,6561.26
JFK,MCT,2027-01-02,,TG,PREMIUM_ECONOMY,3,1,0,1,ONE_WAY,EUR,563,1,10,6481.29,6999.79
JFK,DXB,2027-08-02,,SQ,FIRST,2,0,0,2,ONE_WAY,EUR,330,4,9,19802.75,21386.97
SYD,AUH,2026-12-19,,KL,ECONOMY,2,1,0,0,ONE_WAY,AED,353,21,2,4676.39,1271.98
LAX,MEL,2027-03-13,2027-03-16,KL,FIRST,1,0,0,0,ROUND_TRIP,AED,513,5,13,9403.17,2557.66
SFO,CDG,2027-02-09,2027-02-21,WY,ECONOMY,1,0,0,2,ROUND_TRIP,USD,396,7,13,1863.47,1863.47
BOM,MCT,2027-05-15,2027-05-28,AF,ECONOMY,1,0,0,2,ROUND_TRIP,SGD,775,0,12,2667.97,1974.3
DPS,FRA,2027-06-05,,6E,ECONOMY,1,0,0,0,ONE_WAY,INR,138,6,8,740.68,8.89
HYD,BKK,2027-07-20,2027-08-02,AI,ECONOMY,4,1,0,1,ROUND_TRIP,GBP,289,19,23,7799.51,9905.38
FCO,NRT,2026-11-11,,GF,PREMIUM_ECONOMY,2,0,0,0,ONE_WAY,GBP,621,19,5,3808.77,4837.14
FCO,SFO,2027-07-25,,UA,BUSINESS,2,0,0,1,ONE_WAY,USD,353,6,11,7510.91,7510.91
DOH,CCU,2026-11-23,2026-11-30,GF,ECONOMY,3,1,0,0,ROUND_TRIP,USD,443,0,7,3172.31,3172.31
CDG,MNL,2026-12-16,,WN,BUSINESS,2,0,0,1,ONE_WAY,EUR,584,4,13,4754.8,5135.18
AMD,BKK,2027-04-08,2027-05-02,QR,ECONOMY,1,0,0,1,ROUND_TRIP,EUR,673,16,3,2290.62,2473.87
ZRH,KUL,2027-04-01,2027-04-12,WN,BUSINESS,3,0,0,2,ROUND_TRIP,EUR,560,7,16,9679.21,10453.55
NRT,MNL,2026-10-30,,SQ,ECONOMY,1,0,0,0,ONE_WAY,INR,361,7,13,596.33,7.16
AUH,LHR,2027-08-05,,SG,ECONOMY,1,1,0,1,ONE_WAY,EUR,304,0,5,2030.85,2193.32
CGK,DEL,2026-12-04,,LH,ECONOMY,3,0,0,1,ONE_WAY,AED,537,15,23,986.66,268.37
AMS,BKK,2027-06-28,,LX,ECONOMY,1,0,0,0,ONE_WAY,GBP,252,17,21,1068.58,1357.1
BOM,AMD,2027-02-24,2027-03-07,SQ,ECONOMY,1,0,0,0,ROUND_TRIP,USD,84,13,14,457.06,457.06
CCU,MNL,2026-08-29,,AI,PREMIUM_ECONOMY,1,0,1,0,ONE_WAY,SGD,309,7,12,1901.52,1407.12
CDG,DXB,2026-10-11,2026-11-07,LX,PREMIUM_ECONOMY,2,1,0,1,ROUND_TRIP,USD,255,5,9,5081.29,5081.29
AMD,BOM,2026-12-16,2026-12-22,GF,ECONOMY,4,0,0,1,ROUND_TRIP,USD,588,22,7,9016.68,9016.68
PNQ,DPS,2026-10-07,,6E,ECONOMY,2,0,0,1,ONE_WAY,USD,698,13,0,2157.99,2157.99
KUL,AUH,2027-06-13,,KL,ECONOMY,2,2,0,1,ONE_WAY,GBP,365,8,14,3766.22,4783.1
CCU,MAD,2026-11-30,,IB,ECONOMY,1,0,0,0,ONE_WAY,GBP,541,11,20,934.65,1187.01
FRA,LAX,2027-04-21,2027-05-11,WY,BUSINESS,1,2,0,1,ROUND_TRIP,USD,201,7,10,3205.31,3205.31
BKK,BOM,2027-05-22,,SG,ECONOMY,2,0,0,0,ONE_WAY,USD,602,10,20,1966.68,1966.68
KUL,AMS,2026-12-02,,GF,ECONOMY,1,0,0,0,ONE_WAY,USD,376,23,5,479.39,479.39
NRT,MAD,2026-09-10,,UK,BUSINESS,1,1,0,0,ONE_WAY,USD,344,17,22,5528.6,5528.6
DXB,HKG,2027-04-15,2027-04-21,UK,BUSINESS,1,0,0,2,ROUND_TRIP,EUR,717,2,13,3427.59,3701.8
BLR,DOH,2027-06-26,2027-07-06,IX,BUSINESS,1,0,0,1,ROUND_TRIP,USD,260,16,20,1774.51,1774.51
BKK,KUL,2026-11-28,2026-12-21,GF,BUSINESS,2,0,0,2,ROUND_TRIP,USD,333,6,11,3557.41,3557.41
KWI,MEL,2027-04-03,,SG,ECONOMY,1,0,0,0,ONE_WAY,GBP,144,2,4,837.06,1063.07
LHR,AMS,2026-10-25,2026-10-30,SQ,ECONOMY,1,0,0,0,ROUND_TRIP,USD,545,1,10,776.28,776.28
MEL,MAD,2026-09-03,2026-09-19,IB,ECONOMY,4,0,0,0,ROUND_TRIP,GBP,141,23,1,6536.54,8301.41
FRA,BOM,2027-06-05,2027-06-09,SG,ECONOMY,2,0,0,1,ROUND_TRIP,AED,263,5,9,1490.19,405.33
AMS,KWI,2026-11-04,2026-11-17,DL,ECONOMY,1,0,0,0,ROUND_TRIP,SGD,106,13,14,2107.47,1559.53
MNL,MAD,2027-03-08,2027-04-07,TG,BUSINESS,1,0,0,2,ROUND_TRIP,EUR,498,16,0,4172.52,4506.32
ICN,KUL,2026-10-20,,KL,ECONOMY,1,0,0,0,ONE_WAY,GBP,187,9,12,319.01,405.14
MNL,PNQ,2026-10-11,2026-10-28,AI,FIRST,1,0,0,0,ROUND_TRIP,USD,232,3,6,10961.26,10961.26
MAD,NRT,2027-05-01,2027-05-27,MH,ECONOMY,1,0,0,2,ROUND_TRIP,AUD,719,4,15,1688.67,1097.64
MAA,MAD,2027-06-10,,PR,BUSINESS,2,1,0,0,ONE_WAY,SGD,639,18,4,4766.1,3526.91
ICN,CGK,2027-02-26,2027-03-08,LH,ECONOMY,4,1,1,0,ROUND_TRIP,USD,457,13,20,13696.3,13696.3
ZRH,MNL,2026-10-17,,MH,BUSINESS,2,0,0,2,ONE_WAY,AUD,794,16,5,5064.64,3292.02
BKK,AMD,2026-12-27,,AA,BUSINESS,3,2,0,1,ONE_WAY,USD,462,10,17,27376.08,27376.08
MIA,CCU,2026-09-01,2026-09-23,BA,BUSINESS,1,1,0,2,ROUND_TRIP,USD,304,2,7,3344.98,3344.98
